name,old_price,new_price,image
Etre exclusif Pull - Homme -  9376 H22 - Col roulé - BORDEAUX,84.90 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/4874/1.jpg?2167
Omiz Pull à coudière - Jaune moutarde,68.00 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/1905/1.jpg?3135
Omiz pull a coudière,84.90 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/7405/1.jpg?9948
Etre exclusif Pull - Homme - 9313 H18 - Blanc - Imprimé,89.90 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/7405/1.jpg?0306
Omiz Pull raye,38.00 TND,39.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/3125/1.jpg?8509
Omiz Gilet,69.00 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/6715/1.jpg?2329
Pull col rond couleur Gris - Motif aztèque,78.00 TND,59.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6715/1.jpg?2147
Maze Pull Homme - Noir Et Rouge,75.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/2013/1.jpg?1847
Etre exclusif Body - Homme - 9374 H22  - Blanc - Rayée,88.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/9525/1.jpg?9031
Etre exclusif Pull - Homme - 9369 H22 -  Bordeaux 100% acrylique,78.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/9094/1.jpg?7867
Etre exclusif Pull Polo - Homme - 9441 H19 -  Gris claire,82.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/0084/1.jpg?5029
Etre exclusif Pull -  Homme - 9383 H22 - Bleu- Gratté,78.00 TND,57.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/6294/1.jpg?7446
Etre exclusif Pull - Homme - Bordeaux - 9487 H21,78.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/3515/1.jpg?2762
Etre exclusif Pull - Homme - 9388 H22 - Rouge - Zigzag,49.90 TND,57.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/6453/1.jpg?2884
Etre exclusif Pull - Homme -  9389 H22 - Col roulé -  Gris,79.99 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/1905/1.jpg?3135
Etre exclusif Polo - Homme - 9337 H21 - Rouge 100%Coton,88.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/3115/1.jpg?8148
Talla Mode Gilet coton - Gris foncé,78.00 TND,35.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/3774/1.jpg?4767
barsha Pull over pour homme,49.90 TND,45.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/9535/1.jpg?5689
Exist Pull over - P00426 - MULT/COL,68.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/7715/1.jpg?6476
Etre exclusif Pull -  Homme - 9383 H22 - BEIGE- Gratté,48.00 TND,57.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/1205/1.jpg?8066
Etre exclusif Pull - Homme -  9376 H22 - Col roulé - Beige,38.00 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/3515/1.jpg?2762
Talla Mode Gilet coton - Noir,38.00 TND,35.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/1905/1.jpg?3135
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Bordeaux,38.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/2245/1.jpg?8129
